Frequency (Hz)	Level (dB)
43.066406	-47.140236
86.132813	-41.869389
129.199219	-31.750969
172.265625	-17.332029
215.332031	-16.609350
258.398438	-29.256758
301.464844	-42.378960
344.531250	-19.178156
387.597656	-11.510027
430.664063	-15.923455
473.730469	-42.254112
516.796875	-39.828770
559.863281	-21.821562
602.929688	-19.756535
645.996094	-30.347290
689.062500	-47.550068
732.128906	-45.890514
775.195313	-37.847767
818.261719	-40.619915
861.328125	-50.812347
904.394531	-47.143013
947.460938	-29.232458
990.527344	-25.543936
1033.593750	-34.008579
1076.660156	-53.736874
1119.726563	-38.684109
1162.792969	-27.082254
1205.859375	-28.323059
1248.925781	-44.456242
1291.992188	-58.606987
1335.058594	-36.335789
1378.125000	-30.711842
1421.191406	-36.950687
1464.257813	-55.524158
1507.324219	-57.892330
1550.390625	-48.430393
1593.457031	-47.737408
1636.523438	-56.171143
1679.589844	-55.271938
1722.656250	-38.018673
1765.722656	-30.284576
1808.789063	-34.577511
1851.855469	-58.285381
1894.921875	-51.712242
1937.988281	-33.723019
1981.054688	-31.030638
2024.121094	-40.743500
2067.187500	-60.179562
2110.253906	-42.746357
2153.320313	-32.770741
2196.386719	-35.257790
2239.453125	-53.604801
2282.519531	-64.802277
2325.585938	-60.306946
2368.652344	-56.065044
2411.718750	-59.644672
2454.785156	-59.628773
2497.851563	-50.336945
2540.917969	-37.282215
2583.984375	-37.192352
2627.050781	-50.699650
2670.117188	-60.763374
2713.183594	-41.711510
2756.250000	-34.524845
2799.316406	-39.287445
2842.382813	-63.226448
2885.449219	-60.542160
2928.515625	-41.818638
2971.582031	-39.068977
3014.648438	-48.486271
3057.714844	-64.910591
3100.781250	-68.267113
3143.847656	-60.187565
3186.914063	-61.191719
3229.980469	-67.266388
3273.046875	-65.027397
3316.113281	-47.094376
3359.179688	-41.786758
3402.246094	-48.307384
3445.312500	-69.883049
3488.378906	-58.699230
3531.445313	-41.771595
3574.511719	-39.802494
3617.578125	-50.242607
3660.644531	-66.597176
3703.710938	-53.582726
3746.777344	-43.683586
3789.843750	-46.000137
3832.910156	-60.122578
3875.976563	-65.816971
3919.042969	-65.536423
3962.109375	-64.672966
4005.175781	-67.374115
4048.242188	-66.931084
4091.308594	-60.862289
4134.375000	-48.178680
4177.441406	-46.916683
4220.507813	-58.160633
4263.574219	-71.072807
4306.640625	-53.730495
4349.707031	-44.639015
4392.773438	-47.447544
4435.839844	-64.966599
4478.906250	-71.043747
4521.972656	-52.954453
4565.039063	-47.097797
4608.105469	-52.564735
4651.171875	-64.650612
4694.238281	-66.552444
4737.304688	-65.296646
4780.371094	-66.375420
4823.437500	-66.329582
4866.503906	-65.202286
4909.570313	-59.119526
4952.636719	-50.519772
4995.703125	-52.051510
5038.769531	-68.018944
5081.835938	-66.355087
5124.902344	-53.101612
5167.968750	-46.406441
5211.035156	-50.923660
5254.101563	-68.736481
5297.167969	-66.441780
5340.234375	-53.235382
5383.300781	-48.994911
5426.367188	-55.578697
5469.433594	-64.395958
5512.500000	-66.954414
5555.566406	-67.686691
5598.632813	-67.006287
5641.699219	-66.505226
5684.765625	-65.910828
5727.832031	-60.859062
5770.898438	-52.823093
5813.964844	-54.278366
5857.031250	-68.472908
5900.097656	-64.314262
5943.164063	-55.585335
5986.230469	-50.362518
6029.296875	-54.717659
6072.363281	-66.471870
6115.429688	-64.486374
6158.496094	-56.489552
6201.562500	-52.801170
6244.628906	-58.944969
6287.695313	-68.054504
6330.761719	-72.591110
6373.828125	-74.358047
6416.894531	-68.813126
6459.960938	-69.027046
6503.027344	-66.806877
6546.093750	-65.777443
6589.160156	-57.001869
6632.226563	-56.616680
6675.292969	-63.347645
6718.359375	-65.787987
6761.425781	-60.814259
6804.492188	-52.235462
6847.558594	-53.648846
6890.625000	-61.777496
6933.691406	-65.275612
6976.757813	-62.874538
7019.824219	-54.113586
7062.890625	-56.072948
7105.957031	-66.220657
7149.023438	-73.624786
7192.089844	-79.818199
7235.156250	-75.659073
7278.222656	-68.717896
7321.289063	-67.081314
7364.355469	-69.607132
7407.421875	-62.735825
7450.488281	-59.232334
7493.554688	-64.077972
7536.621094	-67.096802
7579.687500	-68.964844
7622.753906	-59.244362
7665.820313	-54.696545
7708.886719	-59.095234
7751.953125	-65.369415
7795.019531	-68.479424
7838.085938	-61.852818
7881.152344	-58.061325
7924.218750	-64.229507
7967.285156	-72.783829
8010.351563	-78.835739
8053.417969	-77.348984
8096.484375	-73.575874
8139.550781	-75.848213
8182.617188	-70.317596
8225.683594	-66.294510
8268.750000	-59.284851
8311.816406	-57.607635
8354.882813	-64.466667
8397.949219	-67.408081
8441.015625	-63.562141
8484.082031	-56.272934
8527.148438	-54.428398
8570.214844	-60.691814
8613.281250	-66.224449
8656.347656	-68.871269
8699.414063	-61.051643
8742.480469	-59.047760
8785.546875	-65.852066
8828.613281	-71.448372
8871.679688	-71.936470
8914.746094	-71.331276
8957.812500	-75.990112
9000.878906	-80.787682
9043.945313	-73.592964
9087.011719	-71.012108
9130.078125	-66.275055
9173.144531	-63.657932
9216.210938	-69.104889
9259.277344	-68.569611
9302.343750	-72.340424
9345.410156	-65.039146
9388.476563	-60.953411
9431.542969	-63.807465
9474.609375	-67.226898
9517.675781	-70.919624
9560.742188	-68.452469
9603.808594	-65.789963
9646.875000	-68.936302
9689.941406	-68.883957
9733.007813	-70.249588
9776.074219	-73.713028
9819.140625	-76.048889
9862.207031	-70.442528
9905.273438	-71.818977
9948.339844	-76.831917
9991.406250	-76.048607
10034.472656	-70.332085
10077.539063	-72.439560
10120.605469	-72.359779
10163.671875	-75.223854
10206.738281	-76.710983
10249.804688	-66.448090
10292.871094	-66.440880
10335.937500	-68.803528
10379.003906	-70.394676
10422.070313	-75.911964
10465.136719	-70.619446
10508.203125	-67.240822
10551.269531	-68.579185
10594.335938	-71.972435
10637.402344	-74.459419
10680.468750	-75.324326
10723.535156	-74.526085
10766.601563	-75.425522
10809.667969	-79.579742
10852.734375	-74.968163
10895.800781	-70.659615
10938.867188	-66.723785
10981.933594	-69.146812
11025.000000	-73.355659
11068.066406	-75.836006
11111.132813	-74.402344
11154.199219	-66.309982
11197.265625	-68.049385
11240.332031	-70.542076
11283.398438	-72.806236
11326.464844	-76.162437
11369.531250	-68.938271
11412.597656	-69.038628
11455.664063	-68.538643
11498.730469	-69.523582
11541.796875	-73.444038
11584.863281	-80.198318
11627.929688	-79.095490
11670.996094	-76.562973
11714.062500	-77.356567
11757.128906	-77.996819
