File Name,Time Start,Oscillations
AC_LOW_E,0.45,20
AC_LOW_G,0.3,20
AC_LOW_A,0.45,20
AC_LOW_C,0.4,20
AC_LOW_F,0.45,20
AC_MID_E,0.4,20
AC_MID_G,0.3,20
AC_MID_A,0.37,20
AC_MID_C,0.25,20
AC_MID_F,0.375,20
AC_HIGH_E,0.375,20
AC_HIGH_G,0.25,20
AC_HIGH_A,0.25,20
AC_HIGH_C,0.375,20
AC_HIGH_F,0.25,20
EL_LOW_E,0.25,20
EL_LOW_G,0.375,20
EL_LOW_A,0.375,20
EL_LOW_C,0.4,20
EL_LOW_F,0.375,20
EL_MID_E,0.375,20
EL_MID_G,0.375,20
EL_MID_A,0.375,20
EL_MID_C,0.2,20
EL_MID_F,0.5,20
EL_HIGH_E,0.25,20
EL_HIGH_G,0.25,20
EL_HIGH_A,0.25,20
EL_HIGH_C,0.375,20
EL_HIGH_F,0.25,20
